internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
38830,Psydrax ficiformis,Canthium ficiforme Hook.f.,Canthium,ficiforme,Hook.f.,,
38832,Psydrax pergracilis,Canthium pergracilis (Bourd.) Gamble [orth. error],Canthium,pergracilis,(Bourd.) Gamble [orth. error],,
38832,Psydrax pergracilis,Canthium pergracile Bourd.,Canthium,pergracile,Bourd.,,
38836,Nostolachma crassifolia,Coffea crassifolia Gamble,Coffea,crassifolia,Gamble,,
38841,Tarenna nilagirica,Pavetta nilagirica Bedd.,Pavetta,nilagirica,Bedd.,,
38910,Picrasma excelsa,Quassia excelsa Sw.,Quassia,excelsa,Sw.,,
38913,Euphorbia biselegans,Monadenium elegans S.Carter,Monadenium,elegans,S.Carter,,
38914,Senna domingensis,Cassia domingensis Spreng.,Cassia,domingensis,Spreng.,,
38914,Senna domingensis,Cassia scleroxyla Britton,Cassia,scleroxyla,Britton,,
38914,Senna domingensis,Cowellocassia domingensis (Spreng.) Britton & Rose,Cowellocassia,domingensis,(Spreng.) Britton & Rose,,
38943,Aiphanes lindeniana,Martinezia lindeniana H.Wendl.,Martinezia,lindeniana,H.Wendl.,,
39002,Bactris nancibaensis,Bactris nancibensis Grav. [orth. error],Bactris,nancibensis,Grav. [orth. error],,
39020,Ceroxylon alpinum,Ceroxylon ferrugineum Devansaye,Ceroxylon,ferrugineum,Devansaye,,
39096,Lithophila subscaposa,Alternanthera subscaposa Hook. f.,Alternanthera,subscaposa,Hook. f.,,
39046,Sloanea gracilis,Sloanea gracilis Uittien,Sloanea,gracilis,Uittien,,
39161,Lepidopilum grevilleanum,Lepidopilum pulcherrimum Steere,Lepidopilum,pulcherrimum,Steere,,
39166,Donrichardsia macroneuron,Hygroamblystegium macroneuron Grout,Hygroamblystegium,macroneuron,Grout,,
39179,Neomacounia nitida,Forsstroemia nitida Lindb.,Forsstroemia,nitida,Lindb.,,
39189,Takakia ceratophylla,Lepidozia ceratophylla Mitt.,Lepidozia,ceratophylla,Mitt.,,
39147,Taxus contorta,Taxus fuana Nan Li & R.R.Mill,Taxus,fuana,Nan Li & R.R.Mill,,
39156,Limbella fryei,Sciaromium fryei R.S. Williams,Sciaromium,fryei,R.S. Williams,,
39226,Spruceanthus theobromae,Lejeunea theobromae Spruce,Lejeunea,theobromae,Spruce,,
39236,Symbiezidium madagascariense,Symbiezidium madagascariensis Steph [orth. var.],Symbiezidium,madagascariensis,Steph [orth. var.],,
39247,Ambuchanania leucobryoides,"Sphagnum leucobryoides T.Yamag., Seppelt & Z.Iwats.",Sphagnum,leucobryoides,"T.Yamag., Seppelt & Z.Iwats.",,
39249,Myriocoleopsis fluviatilis,Cololejeunea fluviatilis Steph.,Cololejeunea,fluviatilis,Steph.,,
39322,Faujasiopsis reticulata,Cacalia reticulata Vahl,Cacalia,reticulata,Vahl,,
39477,Pararistolochia preussii,Aristolcohia preussii Engl.,Aristolcohia,preussii,Engl.,,
39518,Oncoba lophocarpa,Caloncoba lophocarpa (Oliver) Gilg,Caloncoba,lophocarpa,(Oliver) Gilg,,
39521,Plectranthus dissitiflorus,Coleus dissitiflorus Gürke,Coleus,dissitiflorus,Gürke,,
39523,Englerodendron leptorrhachis,Anthonotha leptorrhachis (Harms) J.Léonard,Anthonotha,leptorrhachis,(Harms) J.Léonard,,
39523,Englerodendron leptorrhachis,Macrolobium leptorrhachis Harms,Macrolobium,leptorrhachis,Harms,,
39523,Englerodendron leptorrhachis,Isomacrolobium leptorrhachis (Harms) Aubrév. &amp; Pellegr.,Isomacrolobium,leptorrhachis,(Harms) Aubrév. &amp; Pellegr.,,
39528,Ardisia oligantha,Afrardisia oligantha Gilg & G.Schellenb.,Afrardisia,oligantha,Gilg & G.Schellenb.,,
39535,Synsepalum brenanii,Vincentella brenanii Heine,Vincentella,brenanii,Heine,,
39538,Amorphophallus preussii,Hydrosme preussii Engl.,Hydrosme,preussii,Engl.,,
39573,Kylicanthe bueae,Angraecum bueae Schltr.,Angraecum,bueae,Schltr.,,
39573,Kylicanthe bueae,Diaphananthe bueae (Schltr.) Schltr.,Diaphananthe,bueae,(Schltr.) Schltr.,,
39626,Macledium pretoriense,Dicoma pretoriensis C.A.Sm.,Dicoma,pretoriensis,C.A.Sm.,,
39718,Sarracenia oreophila,Sarracenia flava L. var. oreophila Kearney,Sarracenia,flava,L.,variety,Kearney
