assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
18493900,19495,Rhinoceros sondaicus,ANIMALIA,CHORDATA,PERISSODACTYLA,MAMMALIA,RHINOCEROTIDAE,Rhinoceros,sondaicus,,,,"Desmarest, 1822",Critically Endangered,D,3.1,Stable,Global
18567171,10032,Choeropsis liberiensis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,HIPPOPOTAMIDAE,Choeropsis,liberiensis,,,,"(Morton, 1849)",Endangered,C1,3.1,Decreasing,Global
21282528,136628,Microgale jobihely,ANIMALIA,CHORDATA,AFROSORICIDA,MAMMALIA,TENRECIDAE,Microgale,jobihely,,,,"Goodman, Raxworthy, Maminirina &amp; Olson, 2006",Endangered,B2ab(iii),3.1,Unknown,Global
21283546,1087,Neamblysomus gunningi,ANIMALIA,CHORDATA,AFROSORICIDA,MAMMALIA,CHRYSOCHLORIDAE,Neamblysomus,gunningi,,,,"(Broom, 1908)",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
21284544,62007,Amblysomus marleyi,ANIMALIA,CHORDATA,AFROSORICIDA,MAMMALIA,CHRYSOCHLORIDAE,Amblysomus,marleyi,,,,"Roberts, 1931",Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Unknown,Global
21285354,1089,Neamblysomus julianae,ANIMALIA,CHORDATA,AFROSORICIDA,MAMMALIA,CHRYSOCHLORIDAE,Neamblysomus,julianae,,,,"(Meester, 1972)",Endangered,B2ab(iii),3.1,Unknown,Global
21286235,5749,Cryptochloris zyli,ANIMALIA,CHORDATA,AFROSORICIDA,MAMMALIA,CHRYSOCHLORIDAE,Cryptochloris,zyli,,,,"Shortridge & Carter, 1938",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
21287143,5748,Cryptochloris wintoni,ANIMALIA,CHORDATA,AFROSORICIDA,MAMMALIA,CHRYSOCHLORIDAE,Cryptochloris,wintoni,,,,"(Broom, 1907)",Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
21287265,19705,Rhynchocyon chrysopygus,ANIMALIA,CHORDATA,MACROSCELIDEA,MAMMALIA,MACROSCELIDIDAE,Rhynchocyon,chrysopygus,,,,"A. Günther, 1881",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
21289898,4828,Chrysospalax trevelyani,ANIMALIA,CHORDATA,AFROSORICIDA,MAMMALIA,CHRYSOCHLORIDAE,Chrysospalax,trevelyani,,,,"(Günther, 1875)",Endangered,"B2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
21944584,16138,Parantechinus apicalis,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Parantechinus,apicalis,,,,"(Gray, 1842)",Endangered,"B2ab(i,iii,iv,v)",3.1,Decreasing,Global
21947190,6296,Dasyurus viverrinus,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Dasyurus,viverrinus,,,,"(Shaw, 1800)",Endangered,A2b,3.1,Decreasing,Global
21947321,6295,Dasyurus hallucatus,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Dasyurus,hallucatus,,,,"Gould, 1842",Endangered,A2ce+3ce+4ce,3.1,Decreasing,Global
21949380,14222,Myrmecobius fasciatus,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,MYRMECOBIIDAE,Myrmecobius,fasciatus,,,,"Waterhouse, 1836",Endangered,C2a(i),3.1,Decreasing,Global
21949526,136218,Ailurops melanotis,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PHALANGERIDAE,Ailurops,melanotis,,,,"(O. Thomas, 1898)",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
21949788,20639,Spilocuscus rufoniger,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PHALANGERIDAE,Spilocuscus,rufoniger,,,,"(Zimara, 1937)",Critically Endangered,A4cd,3.1,Decreasing,Global
21950078,136443,Spilocuscus wilsoni,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PHALANGERIDAE,Spilocuscus,wilsoni,,,,"K.M. Helgen &amp; Flannery, 2004",Critically Endangered,A2cd,3.1,Decreasing,Global
21950608,16858,Phalanger alexandrae,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PHALANGERIDAE,Phalanger,alexandrae,,,,"Flannery &amp; Boeadi, 1995",Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
21950802,16851,Phalanger matanim,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PHALANGERIDAE,Phalanger,matanim,,,,"Flannery, 1987",Critically Endangered,D,3.1,Unknown,Global
21951419,16846,Phalanger lullulae,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PHALANGERIDAE,Phalanger,lullulae,,,,"O. Thomas, 1896",Endangered,B1ab(iii),3.1,Stable,Global
21952571,6794,Dorcopsis atrata,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Dorcopsis,atrata,,,,"Van Deusen, 1957",Critically Endangered,"B1ab(i,iii)",3.1,Decreasing,Global
21955087,16761,Petrogale concinna,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Petrogale,concinna,,,,"Gould, 1842",Endangered,A3bce,3.1,Decreasing,Global
21955261,16752,Petrogale coenensis,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Petrogale,coenensis,,,,"Eldridge &amp; Close, 1992",Endangered,B2ab(iii); C2a(i),3.1,Decreasing,Global
21955635,16747,Petrogale persephone,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Petrogale,persephone,,,,"Maynes, 1982",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
21956108,6437,Dendrolagus mbaiso,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Dendrolagus,mbaiso,,,,"Flannery, Boeadi &amp; Szalay, 1995",Endangered,A2cd,3.1,Decreasing,Global
21956375,6435,Dendrolagus scottae,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Dendrolagus,scottae,,,,"Flannery &amp; Seri, 1990",Critically Endangered,A2d,3.1,Stable,Global
21956650,6433,Dendrolagus matschiei,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Dendrolagus,matschiei,,,,"Förster &amp; Rothschild, 1907",Endangered,C2a(ii),3.1,Decreasing,Global
21956785,136668,Dendrolagus mayri,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Dendrolagus,mayri,,,,"Rothschild &amp; Dollman, 1933",Critically Endangered,D,3.1,Unknown,Global
21957010,136732,Dendrolagus notatus,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Dendrolagus,notatus,,,,"Matschie, 1916",Endangered,A2cd,3.1,Decreasing,Global
21957219,136696,Dendrolagus pulcherrimus,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Dendrolagus,pulcherrimus,,,,"Flannery, 1993",Critically Endangered,A1ad,3.1,Stable,Global
21957524,6429,Dendrolagus goodfellowi,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Dendrolagus,goodfellowi,,,,"Thomas, 1908",Endangered,A2cd,3.1,Decreasing,Global
21958371,136255,Thylogale lanata,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Thylogale,lanata,,,,"O. Thomas, 1922",Endangered,B1ab(v),3.1,Decreasing,Global
21958741,21873,Thylogale calabyi,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Thylogale,calabyi,,,,"Flannery, 1992",Endangered,"B2ab(i,ii,iii,v)",3.1,Decreasing,Global
21959050,11343,Lasiorhinus krefftii,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,VOMBATIDAE,Lasiorhinus,krefftii,,,,"(Owen, 1873)",Critically Endangered,B1ab(iii)+2ab(iii),3.1,Stable,Global
21959298,16726,Petaurus abidi,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PETAURIDAE,Petaurus,abidi,,,,"Ziegler, 1981",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
21959531,16727,Petaurus gracilis,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PETAURIDAE,Petaurus,gracilis,,,,"(de Vis, 1883)",Endangered,B1ab(iii),3.1,Decreasing,Global
21959976,9564,Gymnobelideus leadbeateri,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PETAURIDAE,Gymnobelideus,leadbeateri,,,,"McCoy, 1867",Critically Endangered,A2abc+3bc+4abc,3.1,Decreasing,Global
21960180,6224,Dactylopsila tatei,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PETAURIDAE,Dactylopsila,tatei,,,,"Laurie, 1952",Endangered,B1ab(iii),3.1,Unknown,Global
21960726,18107,Potorous gilbertii,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,POTOROIDAE,Potorous,gilbertii,,,,"(Gould, 1841)",Critically Endangered,D,3.1,Decreasing,Global
